status_type,num_reactions,num_comments,num_shares,num_likes,x1,x2,x3,x4
video,529,512,262,432,264.5,64,32.75,54
photo,150,0,0,150,75,0,0,18.75
video,227,236,57,204,113.5,29.5,7.125,25.5
photo,111,0,0,111,55.5,0,0,13.875
photo,213,0,0,204,106.5,0,0,25.5
photo,217,6,0,211,108.5,0.75,0,26.375
video,503,614,72,418,251.5,76.75,9,52.25
video,295,453,53,260,147.5,56.625,6.625,32.5
photo,203,1,0,198,101.5,0.125,0,24.75
photo,170,9,1,167,85,1.125,0.125,20.875
photo,210,2,3,202,105,0.25,0.375,25.25
photo,222,4,0,213,111,0.5,0,26.625
photo,313,4,2,305,156.5,0.5,0.25,38.125
photo,209,4,0,200,104.5,0.5,0,25
photo,346,11,0,335,173,1.375,0,41.875
video,332,100,30,303,166,12.5,3.75,37.875
video,135,256,79,117,67.5,32,9.875,14.625
video,150,173,47,132,75,21.625,5.875,16.5
video,221,166,36,192,110.5,20.75,4.5,24
photo,152,2,0,149,76,0.25,0,18.625
photo,234,15,1,221,117,1.875,0.125,27.625
photo,227,7,1,217,113.5,0.875,0.125,27.125
photo,98,0,0,96,49,0,0,12
video,18,0,0,18,9,0,0,2.25
photo,102,0,0,100,51,0,0,12.5
video,37,0,1,37,18.5,0,0.125,4.625
video,75,36,14,70,37.5,4.5,1.75,8.75
video,90,78,9,85,45,9.75,1.125,10.625
photo,145,9,0,138,72.5,1.125,0,17.25
video,253,300,31,229,126.5,37.5,3.875,28.625
photo,85,0,0,81,42.5,0,0,10.125
video,45,14,0,40,22.5,1.75,0,5
photo,92,0,0,85,46,0,0,10.625
photo,125,1,0,116,62.5,0.125,0,14.5
photo,119,4,0,116,59.5,0.5,0,14.5
photo,293,8,0,281,146.5,1,0,35.125
video,128,137,26,110,64,17.125,3.25,13.75
photo,84,15,13,78,42,1.875,1.625,9.75
photo,66,11,6,61,33,1.375,0.75,7.625
video,171,292,28,150,85.5,36.5,3.5,18.75
video,90,72,23,79,45,9,2.875,9.875
video,139,39,9,121,69.5,4.875,1.125,15.125
video,236,181,21,201,118,22.625,2.625,25.125
video,225,210,34,193,112.5,26.25,4.25,24.125
photo,275,12,0,260,137.5,1.5,0,32.5
video,372,456,37,334,186,57,4.625,41.75
photo,445,9,0,419,222.5,1.125,0,52.375
video,128,60,11,114,64,7.5,1.375,14.25
video,186,235,46,163,93,29.375,5.75,20.375
video,309,444,36,254,154.5,55.5,4.5,31.75
photo,77,11,3,75,38.5,1.375,0.375,9.375
video,119,72,28,103,59.5,9,3.5,12.875
photo,100,21,13,95,50,2.625,1.625,11.875
video,240,255,111,193,120,31.875,13.875,24.125
video,164,136,48,146,82,17,6,18.25
video,202,327,42,171,101,40.875,5.25,21.375
video,211,284,46,186,105.5,35.5,5.75,23.25
video,148,114,16,136,74,14.25,2,17
video,97,81,16,84,48.5,10.125,2,10.5
video,279,292,34,254,139.5,36.5,4.25,31.75
photo,263,8,0,245,131.5,1,0,30.625
video,177,193,34,151,88.5,24.125,4.25,18.875
photo,517,32,1,484,258.5,4,0.125,60.5
video,289,258,33,256,144.5,32.25,4.125,32
photo,66,13,0,65,33,1.625,0,8.125
photo,112,6,0,104,56,0.75,0,13
video,206,259,48,181,103,32.375,6,22.625
video,362,468,86,305,181,58.5,10.75,38.125
video,184,130,51,161,92,16.25,6.375,20.125
video,216,251,34,199,108,31.375,4.25,24.875
video,57,0,0,56,28.5,0,0,7
